doc_key,no_error,decision_type,detailed_error_type,mention_ind,entity_ind,entity_len,category,type,antecedent_ind,antecedent_dist,antecedent_dist_ent,antecedent_category,mapped_antecedent_ind,mapped_antecedent_dist,mapped_antecedent_dist_ent,mapped_antecedent_category,mapped_antecedent_type,cluster_pron-pron-comp,cluster_pron-pron-no-comp,cluster_pron-ent,cluster_match,cluster_contain,cluster_other,mapped_cluster_pron-pron-comp,mapped_cluster_pron-pron-no-comp,mapped_cluster_pron-ent,mapped_cluster_match,mapped_cluster_contain,mapped_cluster_other,cluster_size,cluster_errors,mapped_cluster_type,mapped_cluster_size,mapped_cluster_errors,cluster_props,cluster_prons,cluster_noms,mapped_cluster_props,mapped_cluster_prons,mapped_cluster_noms,entity_score,wrong_score,wrong_mean_score,num_wrong_inst,entropy,prob,mention_str,cluster_str,cluster_final_size,mapped_cluster_str,mapped_cluster_final_size,prob_str
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,0,0,0,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mine,,,,,
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,1,0,1,PRON,PER,0.0,0.0,0.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,2.6169276237487793,,,,0.2485834881948213,0.9319431185722351,my,"Mine_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,2,1,1,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2182380736516341,0.9431402087211609,thou,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,3,0,2,PRON,PER,1.0,1.0,1.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,1.0,0.0,,,,3.1166093349456787,,,,0.24349585691235956,0.9449340105056763,my,"Mine_1
my_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,4,2,2,NOM,FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19097703274809263,0.9585403203964233,my kingdom,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,5,3,3,PROP,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552334001655565,0.6596367955207825,Shakespeare,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,6,4,4,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3042487142759312,0.9408798217773438,North America,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,7,5,5,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1561407978327223,0.9750941395759583,the wilderness,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,8,6,6,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22444894932934564,0.9626333117485046,the adverse hosts,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,9,7,7,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2869419046181093,0.9512192010879517,A wide and apparently an impervious boundary of forests,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,10,8,8,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2627454488445024,0.9575594067573547,the hostile provinces of France and England,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,11,9,9,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1796153877117086,0.9735432267189026,France,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,12,10,10,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3058293977908635,0.9506389498710632,England,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,13,11,11,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23618785507853032,0.9644747376441956,The hardy colonist,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,14,12,12,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2770552825017681,0.9572566747665405,the trained European who fought at his side,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,15,11,13,PRON,PER,13.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.94248628616333,,,,0.6740560294389156,0.8711367845535278,his,"The hardy colonist_1
",2.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,16,13,13,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5502288157713182,0.8756797313690186,the rapids of the streams,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,17,14,14,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2674111775275271,0.9607821106910706,the streams,,,,,1.0
